Nom du substituant chimique,Main,Type,Pattern,Ligand
Phenylalanine side chain ,Amino acid,SMARTS,[CH2X4][cX3]1[cX3H][cX3H][cX3H][cX3H][cX3H]1 ,X
Proline,Amino acid,SMARTS,[NH2]1[CH2][CH2][CH2][CH]1[CX3](=[OX1])[OX2H],X
Tyrosine side chain,Amino acid,SMARTS,[CH2X4][cX3]1[cX3H][cX3H][cX3]([OHX2])[cX3H][cX3H]1,X
Phenylalanine side chain ,Amino acid,SMARTS,[CH2X4][cX3]1[cX3H][cX3H][cX3H][cX3H][cX3H]1 ,X
Methionine side chain,Amino acid,SMARTS,[CH2X4][CH2X4][SX2][CH3X4] ,X
Glutamate side chain,Amino acid,SMARTS,[CH2X4][CH2X4][CX3](=[OX1])[OH],X
Valine side chain,L,SMARTS,[CHX4]([CH3X4])[CH3X4],X
Tryptophan side chain,L,SMARTS,[CX4H2][c]1=[cH][NX3H1][c]2=[cH][cH]=[cH][cH]=[c]12,X
Serine side chain,L,SMARTS,[CH2X4][OX2H],X
Leucine side chain,L,SMARTS,[CH2X4][CHX4]([CH3X4])[CH3X4],X
Isoleucine,L,SMARTS,[CHX4]([CH3X4])[CH2X4][CH3X4],X
Histidine side chain,L,SMARTS,[CH2X4][cX3]1[NX2]=[cX2H][NX3H][cX3H]=1 ,X
Glutamine side chain,L,SMARTS,[CH2X4][CH2X4][CX3](=[OX1])[NX3H2],X
Cysteine side chain,L,SMARTS,[CH2X4][SX2H],X
Acid chloride,L,SMARTS,C(=O)Cl,X
Methoxy,L,SMARTS,[OX2][CH3],X
Ketoxime,L,SMARTS,[CX4][CX3]([CX4])=[NX2]-[OH],X
Aldoxime,L,SMARTS,[CX4][CX3H1]=[NX2]-[OH],X
Diazo,L,SMARTS,[N+]#N,X
Azo,L,SMARTS,[#6]-N=N-[#6],X
Azide,L,SMARTS,[NX2]=[NX2+]=[NX1-],X
