compound_smiles,viscosity_value,temperature_K,pressure_kPa
CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CN1CCOCC1,7.313,298.15,100.0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCn1c[n+](C)cc1.[O-]C(=O)C,7.3,296.72,101.325
CCCCCCCCn1cc[n+](C)c1.[Cl-],7.3,303.15,97.6
CC(O)C(=O)[O-].CN(C)C(=[NH2+])N(C)C,7.3,308.15,101.0
CCCCCCCCCC[n+]1ccn(CCC#N)c1.O=C([O-])c1cccc(S(=O)(=O)O)c1,7.159,308.15,101.325
CCCCCCCC[n+]1ccn(C)c1.O=P([O-])(O)OP(=O)(O)O,7.114,313.15,101.325
CCCCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])c1ccccc1,7.1,293.15,101.325
CCCC[n+]1ccn(CCC#N)c1.[Br-],7.058,308.15,101.325
CCCCCC[n+]1ccn(C)c1.[Br-],6.936,293.15,101.0
C[N+](C)(C)CCO.O=S(=O)([O-])CC(O)CN1CCOCC1,6.933,328.15,100.0
Cc1ccc(S(=O)(=O)[O-])cc1.N#CCCn1cc[nH+]c1,6.911,313.15,101.325
CCCCCC[n+]1ccn(C)c1C.O=[N+]([O-])c1cn[n-]c1,6.91,283.15,101.325
N[C@@H](CCCCN)C(=O)[O-].C(CCC)N1C=[N+](C=C1)C=C,6.9,303.15,101.3
CC(=O)N[C@H](C(=O)[O-])C(C)C.CCCCCC[N+]1(C)CCOCC1,6.9,303.15,101.325
CCCCCCn1cc[n+](C)c1.O=C1[N-]S(=O)(=O)c2ccccc21,6.84,303.05,101.325
CC[NH+](CC)CC.O=P([O-])(O)O,6.837,338.0,101.325
CCCCCCCCCC[n+]1ccn(CCC#N)c1.[Br-],6.813,323.15,101.325
CCCCCCCCn1cc[n+](CCC#N)c1.O=S(=O)([O-])C(F)(F)F,6.784,293.15,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,6.771,271.66,101.325
N#CCC[n+]1ccn(CCO)c1.[Cl-],6.721,323.15,101.325
CCCC[N+](C)(CCCC)CCCC.NCCS(=O)(=O)[O-],6.7,298.15,101.325
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],6.688,288.15,101.325
CCOP(=O)([O-])OCC.CC[N+]1(C)CCOCC1,6.68,298.15,100.0
CCC=C[n+]1ccn(C)c1C.O=[N+]([O-])c1cn[n-]c1,6.65,278.15,101.325
Cn1cc[n+](Cc2ccccc2)c1.[Cl-],6.649,293.15,101.325
C[N+]1(CC(O)CO)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,6.6,283.0,101.325
C[N+](C)(C)CCO.N[C@@H](CO)C(=O)[O-],6.543,303.15,101.325
Cn1cc[n+](CCO)c1.NCC(=O)[O-],6.5285,293.15,100.0
CCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,6.5,237.2,100.0
N1=C(C=CC=C1)S(=O)(=O)[O-].C(CCC)[P+](CC)(CCCC)CCCC,6.5,293.0,101.325
CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,6.482,303.15,100.0
CC(=O)[O-].CCCCCCn1cc[n+](C)c1,6.46,283.15,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,6.42,272.33,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,6.41,273.15,100.0
CCCCCC[n+]1ccn(C)c1.[Cl-],6.4,303.15,101.325
C[N+](C)(C)CCO.O=S(=O)([O-])CC(O)CNC(CO)(CO)CO,6.385,353.15,100.0
CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CN1CCOCC1,6.381,323.15,100.0
CCCCCCn1cc[n+](C)c1.N#C[C-](C#N)C#N,6.3,241.2,100.0
CC(=O)N[C@@H](CC(C)C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,6.3,308.15,101.325
C[N+](C)(CCCS(=O)(=O)O)C1CCCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,6.293,328.15,101.0
