compound_smiles,viscosity_value,temperature_K,pressure_kPa
Cc1ccc(S(=O)(=O)[O-])cc1.N#CCCn1cc[nH+]c1,0.977,333.15,101.325
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.976,283.09,101.325
CCCC[n+]1ccn(CCC#N)c1.[Br-],0.976,333.15,101.325
CCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCC[n+]1ccn(CCC#N)c1,0.975,333.15,101.325
CCC[n+]1cn(C)cn1.Cc1ccc(S(=O)(=O)[O-])cc1,0.975,313.1,101.325
CCC=C[n+]1ccn(C)c1C.O=[N+]([O-])c1cn[n-]c1,0.973,293.15,101.325
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,0.972,283.15,39870.0
CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.97,303.15,101.0
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.Cl[Fe-](Cl)(Cl)Cl,0.969,303.15,101.325
CCCCCC[n+]1ccn(C)c1.c1c[n-]nn1,0.965,288.15,101.325
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CS(=O)(=O)[O-],0.963,303.15,101.325
CCCCCC[n+]1ccn(C)c1.c1nc[n-]n1,0.961,288.15,101.325
CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.96,283.15,40200.0
C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,0.96,306.48,100.0
CCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc2cn[n-]c2c1,0.96,297.9,101.0
CCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc2cn[n-]c2c1,0.96,298.2,101.0
O1C(=CC=C1)C(=O)[O-].C(CCC)[P+](CCCC)(CCCC)CCCC,0.96,298.1,101.325
CCCCCCCCCCCCCC[N+](C)(CCOCCOCCOCCOCCOCCO)CCOCCOCCOCCOCCOCCO.COS(=O)(=O)[O-],0.96,313.0,101.325
N[C@@H]([C@H](O)C)C(=O)[O-].C(CCC)N1C(=[N+](C=C1)C)C,0.96,293.15,100.0
CCCCCCCC/C=C\CCCCCCCC(=O)[O-].CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,0.958,308.15,101.325
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.958,307.8,101.325
CC[N+](C)(C)CCOC(C)=O.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.954,278.15,101.325
CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.953,293.15,20000.0
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.95,283.6,14620.0
CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],0.95,293.15,101.325
CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.95,283.15,101.325
O=C[O-].OCC[NH2+]CCO,0.95,298.15,101.325
CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,0.944,293.15,100.0
CCCCCCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.944,273.15,101.325
CCCCCCCCCC[n+]1ccn(CCC#N)c1.O=C([O-])c1cccc(S(=O)(=O)O)c1,0.944,333.15,101.325
CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.942,258.15,101.325
CCOP(=O)([O-])OCC.CC[N+]1(C)CCOCC1,0.942,318.15,100.0
CCCCCC[n+]1ccn(C)c1.[Cl-],0.942,328.15,101.325
CCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.94,293.0,100.0
CCCCCCCC[P+](CC)(CC)CC.Cc1ncc([N+](=O)[O-])[n-]1,0.94,293.15,101.325
P(OC)([O-])=O.C(CCCCC)N1C=[N+](C=C1)C,0.94,293.1,101.325
CCCCCCCCn1cc[n+](C)c1.[Cl-],0.94,333.15,101.325
CCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.94,303.15,101.325
C=CC[n+]1ccn(CCC#N)c1.N#C[S-],0.936,298.15,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.933,294.22,101.325
CC(=O)[O-].CCC[NH3+],0.932,293.15,101.325
CCCC[N+](C)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.931,268.15,101.325
C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.93,300.24,101.325
CCCCCC[n+]1ccn(C)c1.[Cl-],0.93,323.15,96.7
CCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.93,293.15,101.325
CCCCCCCCn1cc[n+](C)c1.[Cl-],0.93,333.15,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.929,294.25,101.325
CCCCCC(=O)[O-].C[N+](C)(C)CCO,0.929,293.15,101.325
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.928,283.15,101.325
CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[C@@H]1CCCN1,0.9276,303.0,101.325
CCCCCCn1cc[n+](CCC#N)c1.[Cl-],0.922,343.15,101.325
Cn1cc[n+](CCO)c1.NCC(=O)[O-],0.92175,313.15,100.0
C[N+](C)(C)CCO.N[C@H](Cc1ccccc1)C(=O)[O-],0.9207,328.0,101.325
CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.92,298.15,42100.0
CP(OC)([O-])=O.C(CCCCC)N1C=[N+](C=C1)C,0.92,298.1,101.325
CCCCCCCC[P+](CC)(CC)CC.Cc1ncc([N+](=O)[O-])[n-]1,0.92,293.15,100.0
CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,0.92,298.15,100.0
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],0.92,303.15,101.325
CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.918,298.15,42100.0
CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,0.918,313.15,101.325
FC(C(F)(F)F)(S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)F.C(C)[P+](CCCCCCCC)(CC)CC,0.915,278.15,101.325
CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,0.911,293.15,20450.0
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.91,283.6,11830.0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCn1c[n+](C)cc1.[O-]C(=O)C,0.91,321.09,101.325
CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.91,278.0,101.325
CCCCCCCCn1cc[n+](C)c1.[Cl-],0.91,328.15,101.325
CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,0.905,283.15,101.325
CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCCC[n+]1ccn(CCC#N)c1,0.904,338.15,101.325
CCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,0.902,288.15,101.325
CCCCCC[n+]1ccn(C)c1.N#Cc1ccc[n-]1,0.902,283.15,101.325
COCC[N+]1(C)CCCC1.O=S1(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)C1(F)F,0.9,278.0,101.325
CC(=O)[O-].CCCC[n+]1ccn(C)c1,0.9,293.15,101.325
CCCCCC[n+]1ccn(C)c1.N#Cc1ccc[n-]1,0.9,283.15,100.0
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.9,283.1,101.325
COCC[n+]1ccn(C)c1.C[C@@H](O)[C@H](N)C(=O)[O-],0.9,298.15,100.0
CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,0.898,348.15,100.0
CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,0.895,293.15,101.325
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.895,283.15,101.325
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.895,283.15,100.0
CCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.893,298.15,101.325
CCCCCCCCCC[n+]1ccn(C)c1.O=P([O-])(O)OP(=O)(O)O,0.893,343.15,101.325
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.89,283.61,10090.0
CC[N+](C)(CC)CCOC.F[B-](F)(F)F,0.89,288.15,101.325
CCC(=O)[O-].C[N+](C)(C)CCO,0.89,313.15,101.325
CCCC[N+](C)(CCCC)CCCC.N[C@@H](CO)C(=O)[O-],0.89,323.15,101.325
C(C)C(COP(=O)(OCC(CCCC)CC)[O-])CCCC.C(CCC)[P+](CCCC)(CCCC)CCCC,0.89,303.0,101.325
CCCCn1c(C)cc(C)[n+]1-c1ccccc1.CS(=O)(=O)[O-],0.89,313.0,101.325
FC(C(F)(F)F)(S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)F.C(C)[P+](CCCCC)(CC)CC,0.889,278.15,101.325
CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,0.889,298.15,101.325
Cn1cc[n+](Cc2ccccc2)c1.[Cl-],0.888,313.15,101.325
CCCCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,0.888,283.15,101.325
N#CCCn1cc[n+](CCO)c1.N#C[S-],0.888,303.15,101.325
CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CN1CCOCC1,0.887,323.15,100.0
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.887,283.15,101.0
CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,0.887,313.15,101.325
C=CC(=O)NC(C)(C)CS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,0.886,313.15,101.325
CC(=O)N[C@H](C(=O)[O-])C(C)C.CCCC[N+]1(C)CCOCC1,0.886,318.15,101.325
CCCC[n+]1ccccc1.F[B-](F)(F)F,0.885,283.15,50050.0
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.883,294.96,101.325
CCCCCCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])c1ccccc1,0.883,323.15,101.325
C=CC(=O)NC(C)(C)CS(=O)(=O)[O-].CCCC[n+]1ccccc1,0.883,313.15,101.325
C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,0.88,308.84,100.0
CCCCCC[n+]1ccn(C)c1.[Cl-],0.88,318.15,101.0
FC(F)(F)S([N-]S(C(F)(F)F)(=O)=O)(=O)=O.c1([c+](N[C@@H]([C@@H](O)C)C(O)=O)c1N(CC)CC)N(CC)CC,0.88,348.1,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.879,295.02,101.325
CCCCC(CC)C[NH2+]CCN.O=S(=O)([O-])C(F)(F)F,0.879,298.15,101.325
C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,0.87854,298.15,100.0
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.878,283.55,7960.0
CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,0.875,283.15,101.325
CCn1cc[n+](C)c1.O=C1CC(=O)O[B-](F)(F)O1,0.875,273.15,101.325
C=CCn1cc[n+](CCC#N)c1.[Cl-],0.873,328.15,101.325
N#CCC[n+]1ccn(CCO)c1.[Cl-],0.873,348.15,101.325
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.871,283.15,101.325
CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CCN(CCO)CCO,0.871,328.15,100.0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCn1c[n+](C)cc1.[O-]S(=O)(=O)C(F)(F)F,0.87,322.99,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.87,293.15,101.325
CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,0.87,293.15,101.325
CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.869,293.15,15000.0
CCCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,0.868,283.15,100.0
CCCCC(CC)C[NH2+]CCN.O=C([O-])C(F)(F)F,0.867,293.15,101.325
CC(O)C(=O)[O-].CN(C)C(=[NH2+])N(C)C,0.867,328.15,101.0
CC[C@H](C)[C@H](NC(C)=O)C(=O)[O-].CC[N+]1(C)CCOCC1,0.867,313.15,101.325
COCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.866,268.15,101.325
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,0.864,283.15,20160.0
CCCC[n+]1ccccc1C.F[B-](F)(F)F,0.86,288.15,101.325
CC[n+]1ccn(CCCCCCO)c1.[Cl-],0.86,298.15,101.325
CCCCCCCC[P+](CC)(CC)CC.Clc1n[n-]c2ccccc12,0.86,298.1,101.0
CCCC[n+]1ccn(C)c1.NCC(=O)[O-],0.86,303.15,101.325
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.86,308.15,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.86,293.15,101.325
COCCOCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.86,283.15,101.325
C[N+](C)(C)CCO.O=S(=O)([O-])CCN(CCO)CCO,0.858,343.15,100.0
CCCC[P+](CC)(CC)CC.Cc1ncc([N+](=O)[O-])[n-]1,0.858,288.15,101.325
CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.856,273.15,60550.0
CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,0.856,293.15,101.325
CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.856,288.15,101.325
CC(C)C[C@H](N)C(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCN,0.855,303.15,101.0
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.854,298.15,10200.0
CC(O)C[NH3+].O=C[O-],0.854,298.1,101.325
FC(C(C(F)(F)F)F)(S(=O)(=O)[O-])F.C(CCC)[N+]1=CN(C=C1)C,0.853,283.15,101.325
CCCCCC[n+]1ccn(C)c1.[Br-],0.852,313.15,101.0
CCCCCCCC[P+](CC)(CC)CC.Clc1n[n-]c2ccccc12,0.85,298.2,101.0
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].CCCCCC[n+]1ccn(CCC#N)c1,0.85,333.15,101.325
CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCC[n+]1ccn(CCC#N)c1,0.85,328.15,101.325
CCOC(=O)c1ccc[n+](CC)c1.CCOS(=O)(=O)[O-],0.85,313.0,101.325
CC[N+]1(C)CCOCC1.O=C([O-])CO,0.85,333.15,100.0
CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,0.85,298.15,101.325
CCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.85,283.15,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.85,293.15,101.325
CCCCCC[n+]1ccn(C)c1.c1nnn[n-]1,0.848,288.15,101.325
CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CCN(CCO)CCO,0.848,348.15,100.0
CCOC(=O)c1ccc[n+](CC)c1.CCOS(=O)(=O)[O-],0.846,313.0,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.845,295.71,101.325
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.c1nnn[n-]1,0.844,293.15,101.325
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,0.843,283.15,29880.0
CC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,0.842,308.15,101.325
CCCCCCCC[P+](CCCC)(CCCC)CCCC.[Cl-],0.842,318.15,101.325
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,0.842,288.15,100.0
CC[N+](CCO)(CCO)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.841,298.15,100.0
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.841,283.15,101.325
C[N+](C)(C)CCO.O=C([O-])[C@@H]1CCCN1,0.84,318.15,101.325
CCCC[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,0.84,278.15,101.325
CCCCCCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,0.84,303.15,101.325
CS(=O)(=O)[O-].Cc1cc(C)[n+](-c2ccccc2)n1C,0.84,313.0,101.325
[O-]S(OC)(=O)=O.c1([c+](N2CCC[C@H]2C(=O)O)c1N(CC)CC)N(CC)CC,0.84,348.1,101.325
C[N+](CCO)(CCO)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.839,293.15,100.0
CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.838,273.15,59200.0
CCCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1c[n-]cn1,0.838,283.15,100.0
CCCCCCCCn1cc[n+](CCC#N)c1.[Cl-],0.837,353.15,101.325
CCCC[n+]1ccn(C)c1.[Br-],0.837,303.15,101.325
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.834,283.67,5540.0
CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.833,298.15,35000.0
CCCC(=O)[O-].C[N+](C)(C)CCO,0.833,293.15,101.325
Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.832,298.15,101.325
C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,0.83,308.54,100.0
CCCCCC[n+]1ccn(CCC#N)c1.O=C([O-])c1cccc(S(=O)(=O)O)c1,0.83,328.15,101.325
CCCCCCCCn1cc[n+](C)c1.[Cl-],0.83,328.15,97.6
CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,0.83,293.15,101.325
CCCC[P+](CCCC)(CCCC)CCCC.N[C@@H](CS)C(=O)[O-],0.83,313.15,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.829,295.79,101.325
CCCCCC[P+](CCCCCC)(CCCCCC)CC(C)C.[Br-],0.829,313.0,101.325
CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,0.827,293.1,101.325
CC[n+]1ccn(C)c1.O=S(=O)([O-])O,0.827,308.15,101.325
CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.824,283.15,101.325
C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.824,303.15,100.0
C=CC(=O)NC(C)(C)CS(=O)(=O)[O-].C[N+](C)=CCl,0.824,293.15,101.325
CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.822,278.15,100.0
CCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.822,293.15,101.325
CS(=O)(=O)[O-].Cc1ccc(-[n+]2c(C)cc(C)n2C)cc1,0.822,313.0,101.325
CCCCC(CC)CCC(=O)[O-].CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,0.82,318.15,101.325
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],0.82,308.15,101.325
CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,0.82,303.08,101.325
C=CC[n+]1ccn(C)c1.[Cl-],0.82,298.15,101.0
CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.819,293.15,101.325
C(=O)(O)CCCCCCCCC(=O)[O-].C(CCCCCCC)[NH+](CCCCCCCC)CCCCCCCC,0.819,318.1,101.325
C(=O)(O)CCCCC(=O)[O-].C(CCCCCCC)[NH+](CCCCCCCC)CCCCCCCC,0.819,318.1,101.325
CC(O)C(=O)[O-].C[N+](C)(C)CCO,0.818,293.15,101.0
CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.816,278.15,100.0
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,0.816,280.65,101.325
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,0.816,288.15,101.325
CCCCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,0.816,298.15,101.325
CC(=O)[O-].CCCCCCn1cc[n+](C)c1,0.816,303.15,101.325
CC(Oc1ccc(Cl)cc1Cl)C(=O)[O-].CCCCCCCC[N+]1(C)CCCCC1,0.816,333.15,101.325
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.815,283.63,4380.0
O=C[O-].OCC[NH2+]CCO,0.815,294.1,101.325
CC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,0.814,288.15,101.325
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.811,283.65,4110.0
C[N+](C)(C)CCO.N[C@@H](CO)C(=O)[O-],0.811,323.15,101.325
CCCCCCCCCCn1cc[n+](CCC#N)c1.CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-],0.811,343.15,101.325
C[n+]1ccn(CCCC#N)c1.O=S(=O)([O-])C(F)(F)F,0.811,293.15,101.0
CCCCCC[n+]1ccn(C)c1.[I-],0.81,305.15,101.325
CCCCC(CC)COP(=O)([O-])OCC(CC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC,0.81,308.0,101.325
N[C@@H](CC1=CNC=N1)C(=O)[O-].C(CCC)N1C=[N+](C=C1)C=C,0.81,333.15,101.3
CCCCCC[n+]1ccn(C)c1.[Cl-],0.81,333.15,101.325
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,0.808,278.15,101.325
O=C[O-].OCC[NH2+]CCO,0.808,293.15,101.325
CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CN1CCOCC1,0.807,348.15,100.0
CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],0.805,278.15,101.325
CCCCCCCC/C=C\CCCCCCCC(=O)[O-].CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,0.805,303.15,101.325
CCCCCC[n+]1ccn(CCC#N)c1.[Br-],0.805,338.15,101.325
CC(C)[C@H](N)C(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCN,0.805,298.15,101.325
CCCC[P+](CCCC)(CCCC)CCCN.C[C@H](N)C(=O)[O-],0.805,298.15,101.0
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.804,283.72,2750.0
CCCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1c[n-]cn1,0.804,283.15,101.325
CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],0.804,293.15,100.0
CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],0.804,293.15,101.325
CC(O)C(=O)[O-].CC[NH3+],0.803,298.1,101.325
COS(=O)(=O)[O-].Cn1cc[n+](Cc2ccccc2)c1,0.802,313.15,101.325
CCc1cccc[n+]1C.COS(=O)(=O)[O-],0.802,328.15,101.325
CCCC[P+](CCCC)(CCCC)COC.c1c[n-]nn1,0.801,283.15,101.325
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCn1c[n+](C)cc1.[O-]S(=O)(=O)C(F)(F)F,0.8,324.81,101.325
CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,0.8,308.15,101.0
CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],0.8,293.15,101.325
CCCCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.8,273.15,101.325
CC(=O)[O-].CCCCCCn1cc[n+](C)c1,0.8,303.15,96.7
CCCC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],0.8,303.15,101.325
CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.799,293.15,10000.0
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.798,296.47,101.325
CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.797,262.57,100.0
NCCC(=O)[O-].C(C)N1C=[N+](C=C1)C,0.797,298.15,101.325
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.794,283.55,1680.0
CC(=O)O[B-](F)(F)OC(C)=O.CCCCn1cc[n+](C)c1,0.793,283.15,101.325
CCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])c1ccccc1,0.792,313.15,101.325
C(CO)(=O)[O-].C(C)N1C=[N+](C=C1)C,0.792,288.15,101.325
CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,0.791,293.15,10970.0
CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.79,283.15,25200.0
CCCC[N+](C)(CCCC)CCCC.F[B-](F)(F)c1ccccc1,0.79,308.0,101.325
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[P+](CCCC)(CCCC)CCCC.[N-](C#N)C#N,0.79,303.15,101.325
CCCC[N+](C)(CCCC)CCCC.C[C@@H](O)[C@H](N)C(=O)[O-],0.79,323.15,101.325
C=CC[n+]1ccn(C)c1.[Cl-],0.79,307.0,101.325
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.Cl[Fe-](Cl)(Cl)Cl,0.79,293.15,101.325
CC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.79,293.0,101.325
CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.789,283.15,25200.0
