Abbreviation,SMILES
[2-Naph],C1=CC=C2C=C(C=CC2=C1)[O-] 
[2-SCH3-BenIm],CSC1=NC2=CC=CC=C2[N-]1 
[3-CF3-Pyrz],C1=C[N-]N=C1C(F)(F)F 
[3-CH3-5-CF3-Pyrz],CC1=N[N-]C(=C1)C(F)(F)F 
[3-Cl-PhO],C1=CC(=CC=C1[O-])Cl 
[3-HMPz],CN1C=CC(=N1)[O-] 
[3-N(CH3)2-PhO],CN(C)C1=CC=C(C=C1)[O-] 
[3-OCH3-2-Op],COC1=C(N=CC=C1)[O-] 
[3-Op],C1=CC(=CN=C1)[O-] 
"[4,5-2EF-Im]",COC(=C1C(=NC=N1)C(=O)OC)[O-] 
"[4,5-CN-Im]",C1=NC(=C=[N-])C(=N1)C#N 
[4-Br-Im],C1=NC(=C[N-]1)Br
[4-CF3-PhO],C1=CC=C(C(=C1)C(F)(F)F)[O-] 
[4-CH3-Im],CC1=C[N-]C=N1 
[4-CH3-PhO],CC1=CC=CC=C1[O-] 
[4-CH3O-PhO],COC1=CC=CC=C1[O-] 
[4-CHO-Im],C1=NC=NC1=C[O-] 
[4-CHO-PhO],C1=CC(=CC=C1C=O)[O-] 
[4-Cl-PhO],C1=CC=C(C(=C1)[O-])Cl 
[4-EF-PhO],CCOC(=O)C1=CC=C(C=C1)[O-] 
[4-Kt-PhO],CC(=O)C1=CC=C(C=C1)[O-] 
[4-NO2-Im],C1=C(N=C[N-]1)[N+](=O)[O-] 
[4-NO2-PhO],C1=CC=C(C(=C1)[N+](=O)[O-])[O-] 
[4-Op],C1=CN=CC=C1[O-] 
[5-HMPz],CN1C(=CC=N1)[O-] 
[6-Br-BenIm],C1=CC2=C(C=C1Br)N=C[N-]2 
[BenTriz],C1=CC2=N[N-]N=C2C=C1 
[CH3C(CN)2],CC(=C=[N-])C#N 
[ACAC],CC(=CC(=O)C)[O-] 
[MSAN],CS(=O)(=O)C=C=[N-] 
[Et2NCOCHCN],N(CC)(CC)C([C-]C#N)=O
[Ind],C1=CC2=C[N-]N=C2C=C1 
[MA-Tetz],C1(=NN=N[N-]1)CN
[Asa],C(N)S(=O)(=O)[O-] 
[o-AA],CC1=C(C(=CC=C1)C(=O)[O-])N 
[o-ANA],C1=CC(=C(N=C1)N)C(=O)[O-] 
[p-AA],CC1=C(C=CC(=C1)C(=O)[O-])N 
[p-ANA],C1=CC(=NC=C1C(=O)[O-])N 
[PCCPhO],C1=CC=CC(=C1)C=CC2=CC=C(C=C2)[O-]
[PhCOCHCN],C1=CC=C(C=C1)C(=O)C=C=[N-] 
[PhCOCHCOCH3],CC(=O)C=C(C1=CC=CC=C1)[O-] 
[PhSO2CHCN],C1=CC=C(C=C1)S(=O)(=O)C=C=[N-] 
[PNNPhO],C1=CC=CC=C1N=NC2=CC=C(C=C2)[O-]
[PPhO],C1=CC=C(C=C1)C2=CC=C(C=C2)[O-]
[Tetz],C1=NN=N[N-]1 
[Beta-Ala],C(CN)C(=O)[O-] 
