mpK,Molecule1,Molecule2,YoN
346.15,CCCC[N+](C)(C)CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C,O=C([O-])C(F)(F)F,1
316.15,CCCCCC[N+](C)(C)CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C,F[B-](F)(F)F,1
344.15,CCCCCCC[N+](C)(C)CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C,F[B-](F)(F)F,1
361.15,CCCCCCCC[N+](C)(C)CO[C@@H]1C[C@H](C)CC[C@H]1C(C)C,F[B-](F)(F)F,1
344.15,CCCCCCCCC[N+](C)(C)CO[C@@H]1C[C@H](C)CC[C@H]1C(C)C,F[B-](F)(F)F,1
330.15,CCCCCCCCCC[N+](C)(C)CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C,F[B-](F)(F)F,1
319.15,CCCCCCCCCCC[N+](C)(C)CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C,F[B-](F)(F)F,1
316.15,CCCCCCCCCCCC[N+](C)(C)CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C,F[B-](F)(F)F,1
372.15,CC(C)[C@H]1CC[C@H](C)C[C@@H]1OC[N+](C)(C)Cc1ccccc1,F[B-](F)(F)F,1
320.15,CC(C)[C@H]1CC[C@H](C)C[C@@H]1OC[N+](C)(C)Cc1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
424.15,CC[N+](C)(CC)CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C,F[B-](F)(F)F,1
399.15,CC[N+](CC)(CC)CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C,F[B-](F)(F)F,1
459.15,CCC[N+](C)(CC)CC,F[B-](F)(F)F,1
287.15,CCC[N+](C)(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
368.15,CCC[N+](C)(CC)CC,F[B-](F)(F)C(F)(F)F,1
327.15,CCC[N+](C)(CC)CC,F[B-](F)(F)C(F)(F)C(F)(F)F,1
330.15,CCC[N+](C)(CC)CC,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
327.15,CCC[N+](C)(CC)CC,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
438.15,CCCC[N+](C)(CC)CC,F[B-](F)(F)F,1
282.15,CCCC[N+](C)(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
270.15,CCCC[N+](C)(CC)CC,F[B-](F)(F)C(F)(F)F,1
288.15,CCCC[N+](C)(CC)CC,F[B-](F)(F)C(F)(F)C(F)(F)F,1
323.15,CCCC[N+](C)(CC)CC,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
333.15,CCCC[N+](C)(CC)CC,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
327.15,COCC[N+](C)(C)C,F[B-](F)(F)F,1
310.15,COCC[N+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
350.15,COCC[N+](C)(C)C,F[B-](F)(F)C(F)(F)F,1
303.15,COCC[N+](C)(C)C,F[B-](F)(F)C(F)(F)C(F)(F)F,1
296.15,COCC[N+](C)(C)C,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
323.15,COCC[N+](C)(C)C,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
277.15,CC[N+](C)(C)CCOC,F[B-](F)(F)F,1
281.15,CC[N+](C)(C)CCOC,F[B-](F)(F)C(F)(F)F,1
240.15,CC[N+](C)(C)CCOC,F[B-](F)(F)C(F)(F)C(F)(F)F,1
245.15,CC[N+](C)(C)CCOC,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
251.15,CC[N+](C)(CC)CCOC,F[B-](F)(F)C(F)(F)F,1
329.15,CC[N+](CC)(CC)CCOC,F[B-](F)(F)F,1
283.15,CC[N+](CC)(CC)CCOC,F[B-](F)(F)C(F)(F)F,1
276.15,CC[N+](CC)(CC)CCOC,F[B-](F)(F)C(F)(F)C(F)(F)F,1
279.15,CC[N+](CC)(CC)CCOC,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
284.15,CC[N+](CC)(CC)CCOC,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
333.15,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,F[B-](F)(F)F,1
309.15,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,1
265.15,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,[BH4-],1
234.15,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
286.15,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=[N+]([O-])[O-],1
351.15,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,Cc1ccc(S(=O)(=O)[O-])cc1,1
277.15,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=S(=O)([O-])OCC(F)(F)F,1
268.15,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=S(=O)([O-])OCC(F)(F)C(F)F,1
271.15,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F,1
251.15,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=S(=O)([O-])O,1
332.15,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,F[P-](F)(F)(F)(F)F,1
250.15,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=P([O-])(O)O,1
250.15,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,CC(=O)[O-],1
277.15,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=C[O-],1
266.15,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=C([O-])O,1
291.15,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,CC=CC(=O)[O-],1
299.15,CCCCCCCC[N+]12CCN(CC1)CC2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
263.15,CCC[NH+](CCC)CCC,O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F,1
190.15,CCC[NH+](CCC)CCC,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F,1
191.15,CCC[NH+](CCC)CCC,O=C([CH-]C(=O)C(F)(F)F)c1ccco1,1
208.15,CCC[NH+](CCC)CCC,O=C([CH-]C(=O)C(F)(F)F)c1cccs1,1
295.15,CCCC[NH+](CCCC)CCCC,O=[N+]([O-])[O-],1
180.15,CCCC[NH+](CCCC)CCCC,O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F,1
208.15,CCCC[NH+](CCCC)CCCC,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F,1
208.15,CCCC[NH+](CCCC)CCCC,O=C([CH-]C(=O)C(F)(F)F)c1ccco1,1
325.15,CCCC[NH+](CCCC)CCCC,O=C([CH-]C(=O)C(F)(F)F)c1cccs1,1
262.15,CC(C)CCCCC[NH+](CCCCCC(C)C)CCCCCC(C)C,O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F,1
177.14999999999998,CC(C)CCCCC[NH+](CCCCCC(C)C)CCCCCC(C)C,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F,1
181.15,CC(C)CCCCC[NH+](CCCCCC(C)C)CCCCCC(C)C,O=C([CH-]C(=O)C(F)(F)F)c1ccco1,1
187.15,CC(C)CCCCC[NH+](CCCCCC(C)C)CCCCCC(C)C,O=C([CH-]C(=O)C(F)(F)F)c1cccs1,1
370.15,CCC[NH2+]CCC,O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F,1
376.15,CCC[NH2+]CCC,O=C([CH-]C(=O)C(F)(F)F)c1cccs1,1
279.15,CCC[NH2+]CCC,N#C[S-],1
364.15,CC(C)[NH2+]C(C)C,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F,1
397.15,CC(C)[NH2+]C(C)C,O=C([CH-]C(=O)C(F)(F)F)c1cccs1,1
357.15,CCCC[NH2+]CCCC,O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F,1
344.15,CCCC[NH2+]CCCC,O=C([CH-]C(=O)C(F)(F)F)c1cccs1,1
336.15,CC(C)C[NH2+]CC(C)C,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F,1
413.15,CC(C)C[NH2+]CC(C)C,O=C([CH-]C(=O)C(F)(F)F)c1cccs1,1
349.15,CC[N+]12CCN(CC1)CC2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
276.15,CC[NH+](CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
321.15,CC[NH3+],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
313.15,CC[NH3+],O=S(=O)([O-])O,1
360.15,CC[NH3+],CC(=O)[O-],1
258.15,CC[NH3+],O=C[O-],1
308.15,C[N+](C)(C)CC#N,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
324.15,[NH3+]CCO,O=[N+]([O-])[O-],1
191.15,[NH3+]CCO,O=C[O-],1
372.15,[NH3+]CCO,COS(=O)(=O)[O-],1
349.15,CCCCC[N+](C)(C)CCCCC,[Br-],1
359.15,CCCCC[N+](C)(C)CCCCC,[I-],1
327.15,CCCCCC[N+](C)(C)CCCCCC,[Br-],1
318.15,CCCCCC[N+](C)(C)CCCCCC,[I-],1
331.15,CCCCC[N+](CC)(CC)CCCCC,[Br-],1
368.15,CCCCC[N+](CC)(CC)CCCCC,[I-],1
348.15,CCCCCC[N+](CC)(CC)CCCCCC,[Br-],1
346.15,CCCCCC[N+](CC)(CC)CCCCCC,[I-],1
318.15,O=C1CCCCC[NH2+]1,O=[N+]([O-])[O-],1
304.15,O=C1CCCCC[NH2+]1,O=C([O-])c1ccccc1,1
302.15,O=C1CCCCC[NH2+]1,O=C([O-])CCl,1
362.15,CCCC(=O)OCC[N+](C)(C)C,O=C1[N-]S(=O)(=O)c2ccccc21,1
322.15,CCCC(=O)OCC[N+](C)(C)C,CC1=CC(=O)[N-]S(=O)(=O)O1,1
281.15,O=C1CCC[NH2+]1,O=[N+]([O-])[O-],1
280.15,O=C1CCC[NH2+]1,O=C([O-])c1ccccc1,1
305.15,O=C1CCC[NH2+]1,O=C([O-])CCl,1
301.15,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,F[B-](F)(F)F,1
271.15,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,O=N[O-],1
329.15,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,F[B-](F)(F)F,1
309.15,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,O=[N+]([O-])[O-],1
262.15,C[N+](C)(C)CCCCS(=O)(=O)O,O=S(=O)([O-])O,1
286.15,C[NH3+],O=C[O-],1
277.15,CCC[NH3+],O=[N+]([O-])[O-],1
340.15,CCC[NH3+],O=C([O-])C(F)(F)F,1
323.15,CCC[NH3+],O=C[O-],1
275.15,CCCC[NH3+],O=C[O-],1
294.15,CCCC[NH3+],N#C[S-],1
285.15,CCCCC[NH3+],O=C[O-],1
299.15,CC(C)C[NH3+],O=C[O-],1
272.15,CCC(C)C[NH3+],O=C[O-],1
320.15,CC(C)CC[NH3+],O=C[O-],1
261.15,C[N+](C)(C)CCCS(=O)(=O)O,O=S(=O)([O-])O,1
264.15,CC[N+](CC)(CC)CCCS(=O)(=O)O,O=S(=O)([O-])O,1
266.15,CCCC[N+](CCCC)(CCCC)CCCS(=O)(=O)O,O=S(=O)([O-])O,1
356.15,CC[N+](CC)(CC)Cc1ccccc1,N#C[N-]C#N,1
382.15,CC[N+](CC)(CC)Cc1ccccc1,O=S(=O)([O-])C(F)(F)F,1
424.15,CC[N+](CC)(CC)Cc1ccccc1,O=C1[N-]S(=O)(=O)c2ccccc21,1
361.15,CC[N+](CC)(CC)Cc1ccccc1,N#C[S-],1
390.15,C[N+](C)(C)c1ccccc1,N#C[N-]C#N,1
356.15,C[N+](C)(C)c1ccccc1,O=S(=O)([O-])C(F)(F)F,1
467.15,C[N+](C)(C)c1ccccc1,O=C1[N-]S(=O)(=O)c2ccccc21,1
389.15,C[N+](C)(C)c1ccccc1,N#C[S-],1
280.15,CCCCCCCCCCCC[N+](CC)(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
270.15,CC[N+](CC)(CC)COC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
448.15,C[N+](C)(Cc1ccccc1)Cc1ccccc1,[Br-],1
504.15,Cc1ccccc1C[N+](C)(C)Cc1ccccc1C,F[B-](F)(F)F,1
543.15,Cc1ccccc1C[N+](C)(C)Cc1ccccc1C,F[P-](F)(F)(F)(F)F,1
422.15,Cc1cccc(C[N+](C)(C)Cc2cccc(C)c2)c1,[Cl-],1
434.15,Cc1cccc(C[N+](C)(C)Cc2cccc(C)c2)c1,F[P-](F)(F)(F)(F)F,1
475.15,Cc1ccc(C[N+](C)(C)Cc2ccc(C)cc2)cc1,[Br-],1
437.15,CCCC[N+](C)(C)CCCC,F[P-](F)(F)(F)(F)F,1
345.15,CCCC[N+](C)=C(N(C)C)N(C)C,O=[N+]([O-])[O-],1
348.15,CCCC[N+](C)=C(N(C)C)N(C)C,O=[N+]([O-])[N-][N+](=O)[O-],1
347.15,Cn1cnn(C)c1=[N+](C)C,O=[N+]([O-])[O-],1
276.15,C[NH+]=C1N(C)CCN1C,O=[N+]([O-])[O-],1
279.15,CCC[NH+]=C1N(C)CCN1C,[O-][Cl+3]([O-])([O-])[O-],1
312.15,CCC[N+](C)=C1N(C)CCN1C,[O-][Cl+3]([O-])([O-])[O-],1
304.15,CCC[N+](C)=C1N(C)CCN1C,O=[N+]([O-])[O-],1
301.15,CCCC[N+](C)=C1N(C)CCN1C,[O-][Cl+3]([O-])([O-])[O-],1
280.15,CCCC[N+](C)=C1N(C)CCN1C,O=[N+]([O-])[O-],1
258.15,CCCC[N+](C)=C1N(C)CCN1C,F[P-](F)(F)(F)(F)F,1
401.15,CCC[N+](C)=C1N(C)CCCN1C,[O-][Cl+3]([O-])([O-])[O-],1
330.15,CCC[N+](C)=C1N(C)CCCN1C,O=[N+]([O-])[O-],1
351.15,CCCC[N+](C)=C1N(C)CCCN1C,[O-][Cl+3]([O-])([O-])[O-],1
279.15,CCCC[N+](C)=C1N(C)CCCN1C,O=[N+]([O-])[O-],1
367.15,CCC[N+](C)=C1N(C)COCN1C,[O-][Cl+3]([O-])([O-])[O-],1
338.15,CCC[N+](C)=C1N(C)COCN1C,O=[N+]([O-])[O-],1
319.15,CCCCCCOc1cc2c3cc(OCCCCCC)c(OCCCCCC)cc3c3cc(OCCCCC[NH+]=C(N(C)C)N(C)C)c(OCCCCCC)cc3c2cc1OCCCCCC,[Cl-],1
423.15,C[P+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
391.15,CC[P+](CC)(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
292.15,CC[P+](CC)(CC)CC,O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
374.15,CCCCCCCCCCCCC[PH2+]C,[Cl-],1
368.15,CCCCCCCCCCCCC[PH2+]C,[Br-],1
333.15,CCCCCCCCCCCCC[PH2+]C,O=[N+]([O-])[O-],1
312.15,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,F[B-](F)(F)F,1
313.15,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,F[P-](F)(F)(F)(F)F,1
333.15,CCCCCC[P+](CC)(CCCCCC)CCCCCC,[Br-],1
343.15,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,[Br-],1
292.15,CCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,O=C([O-])c1ccccc1,1
294.15,CCCCCC[P+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
280.15,CCCCCC[P+](C)(C)C,O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
313.15,CCCCCC[P+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F,1
364.15,O=S(=O)(Cl)CCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])C(F)(F)F,1
370.15,CC[P+](C)(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
328.15,CCCC[P+](CC)(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
290.15,CCCCC[P+](CC)(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
286.15,CCCCCCCCCCCC[P+](CC)(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
287.15,CC[P+](CC)(CC)COC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
283.15,CC[P+](CC)(CC)CCOC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
332.15,CCCCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC,[Br-],1
306.15,CCOC(N(C)C)=[N+](C)C,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1
274.15,CCSC(N(C)C)=[N+](C)C,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1
423.15,C[N+]1(CCO)CCOCC1,[Br-],1
231.15,C[N+]1(CCO)CCOCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
364.15,CCC[N+]1(C)CCOCC1,[O-][Cl+3]([O-])([O-])[O-],1
331.15,CCC[N+]1(C)CCOCC1,O=[N+]([O-])[O-],1
359.15,CCC[N+]1(C)CCOCC1,F[P-](F)(F)(F)(F)F,1
331.15,C[N+]1(CCCF)CCOCC1,O=[N+]([O-])[O-],1
341.15,C[N+]1(CCCF)CCOCC1,O=S(=O)([O-])C(F)(F)F,1
353.15,C[N+]1(CCCF)CCOCC1,F[P-](F)(F)(F)(F)F,1
345.15,C[N+]1(CCOCC(F)(F)F)CCOCC1,F[P-](F)(F)(F)(F)F,1
335.15,C[N+]1(C(OCCC(F)(F)C(F)(F)C(F)F)C(F)F)CCOCC1,F[P-](F)(F)(F)(F)F,1
335.15,C1COCC[NH2+]1,O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F,1
359.15,C1COCC[NH2+]1,CC(C)(C)C(=O)[CH-]C(=O)C(F)(F)C(F)(F)C(F)(F)F,1
345.15,C1COCC[NH2+]1,O=C([CH-]C(=O)C(F)(F)F)c1ccco1,1
375.15,C1COCC[NH2+]1,O=C([CH-]C(=O)C(F)(F)F)c1cccs1,1
302.15,CC[N+]1(C)CCOCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
339.15,CCCC[N+]1(C)CCOCC1,F[B-](F)(F)F,1
308.15,CCCC[N+]1(C)CCOCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
342.15,CCCC[N+]1(C)CCOCC1,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
349.15,CCCC[N+]1(C)CCOCC1,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
358.15,COCC[N+]1(C)CCOCC1,F[B-](F)(F)F,1
358.15,COCC[N+]1(C)CCOCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
274.15,COCC[N+]1(C)CCOCC1,F[B-](F)(F)C(F)(F)F,1
399.15,COCC[N+]1(C)CCOCC1,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
358.15,Cn1nn[n+](N)c1N,O=[N+]([O-])[N-][N+](=O)[O-],1
406.15,CC1=[NH+]N(C)NN1C,[O-][Cl+3]([O-])([O-])[O-],1
394.15,Cc1n(C)nn[n+]1N,[I-],1
324.15,Cc1n(C)nn[n+]1N,[O-][Cl+3]([O-])([O-])[O-],1
397.15,CC1=[NH+]N(N)NN1C,[I-],1
413.15,CC1=[NH+]N(N)NN1C,[O-][Cl+3]([O-])([O-])[O-],1
367.15,CC1=[NH+]N(N)NN1C,O=[N+]([O-])[O-],1
317.15,CCC[N+]1(C)CCOC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
314.15,CCC[N+]1(C)CCOC1,F[P-](F)(F)(F)(F)F,1
261.15,CCCC[N+]1(C)CCOC1,F[B-](F)(F)F,1
285.15,CCCC[N+]1(C)CCOC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
269.15,CCCC[N+]1(C)CCOC1,F[B-](F)(F)C(F)(F)C(F)(F)F,1
326.15,CCCC[N+]1(C)CCOC1,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
327.15,CCCC[N+]1(C)CCOC1,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
274.15,COCC[N+]1(C)CCOC1,F[B-](F)(F)C(F)(F)C(F)(F)F,1
283.15,COCC[N+]1(C)CCOC1,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
291.15,COCC[N+]1(C)CCOC1,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
266.15,CC[N+]1(CC)CCNCC1,O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F,1
259.15,FC(F)(CC[n+]1ccccn1)C(F)(F)S(F)(F)(F)(F)F,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
459.15,[NH3+]CC(=O)O,[Cl-],1
389.15,[NH3+]CC(=O)O,F[B-](F)(F)F,1
384.15,[NH3+]CC(=O)O,O=[N+]([O-])[O-],1
374.15,[NH3+]CC(=O)O,F[P-](F)(F)(F)(F)F,1
351.15,C[C@H]([NH3+])C(=O)O,F[B-](F)(F)F,1
432.15,C[C@H]([NH3+])C(=O)O,O=[N+]([O-])[O-],1
355.15,C[C@H]([NH3+])C(=O)O,O=C([O-])C(F)(F)F,1
349.15,O=C(O)[C@@H]1CCC[NH2+]1,F[B-](F)(F)F,1
351.15,O=C(O)[C@@H]1CCC[NH2+]1,O=C([O-])C(F)(F)F,1
407.15,CC(C)[C@H]([NH3+])C(=O)O,O=[N+]([O-])[O-],1
378.15,CC[C@H](C)[C@H]([NH3+])C(=O)O,O=[N+]([O-])[O-],1
317.15,COC(=O)C[NH3+],O=[N+]([O-])[O-],1
322.15,CCOC(=O)C[NH3+],O=[N+]([O-])[O-],1
255.15,COC(=O)C(C)[NH3+],F[B-](F)(F)F,1
256.15,COC(=O)C(C)[NH3+],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
334.15,COC(=O)C(C)[NH3+],O=[N+]([O-])[O-],1
311.15,COC(=O)C(C)[NH3+],C[C@H](O)C(=O)[O-],1
335.15,COC(=O)C(C)[NH3+],N#C[S-],1
378.15,COC(=O)C([NH3+])CO,O=[N+]([O-])[O-],1
256.15,CC[NH2+]C(C)C(=O)OCC,O=[N+]([O-])[O-],1
248.15,CC[NH2+]C(C)C(=O)OCC,C[C@H](O)C(=O)[O-],1
261.15,COC(=O)C([NH3+])C(C)O,O=[N+]([O-])[O-],1
257.15,COC(=O)C1CCC[NH2+]1,O=[N+]([O-])[O-],1
347.15,COC(=O)C([NH3+])C(C)C,O=[N+]([O-])[O-],1
256.15,CCOC(=O)C1CCC[NH2+]1,O=[N+]([O-])[O-],1
259.15,CCC(C)C([NH3+])C(=O)OC,O=[N+]([O-])[O-],1
348.15,CC(C)C[C@H]([NH3+])C(=O)O,O=[N+]([O-])[O-],1
365.15,COC(=O)C([NH3+])Cc1ccccc1,O=[N+]([O-])[O-],1
312.15,CCCn1cc(C[C@@H](NC(=O)c2ccccc2)C(=O)OC)[n+](CCC)c1,[Br-],1
328.15,COC(=O)[C@@H](Cc1cn(C(C)C)c[n+]1C(C)C)NC(=O)c1ccccc1,[I-],1
328.15,CC(=O)[C@@H](Cc1cn(C(C)C)c[n+]1C(C)C)NC(=O)OC(C)(C)C,[I-],1
344.15,Cc1cc(C)c(-n2cc[n+](C)c2)c(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
194.15,CCCC[n+]1ccn(-c2ccc(OC)cc2)c1,FC(F)(F)C(O[B-](OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F)C(F)(F)F,1
299.15,CCCC[n+]1ccn(-c2c(C)cc(C)cc2C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
313.15,CCCCCC[n+]1ccn(-c2c(C)cc(C)cc2C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
305.15,CCCCCCCCCCC[n+]1ccn(-c2c(C)cc(C)cc2C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
357.15,CCCC[N+]1(C)CCCC(C)C1,O=S(=O)([O-])C(F)(F)F,1
355.15,CCCCCC[N+]1(C)CCCC(C)C1,O=S(=O)([O-])C(F)(F)F,1
331.15,CCCC[N+]1(C)CCCC(C)C1,O=C([O-])C(F)(F)F,1
314.15,CCCCCC[N+]1(C)CCCC(C)C1,O=C([O-])C(F)(F)F,1
417.15,CCCC[N+]1(C)CCCC(C)C1,[I-],1
396.15,CCCCCC[N+]1(C)CCCC(C)C1,[I-],1
317.15,CCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
419.15,CCCCc1c[n+](-c2ccccc2)nn1C,Cc1ccc(S(=O)(=O)[O-])cc1,1
375.15,CCCCc1c[n+](-c2ccccc2)nn1C,O=S(=O)([O-])C(F)(F)F,1
379.15,CCCCc1c[n+](C)nn1C,Cc1ccc(S(=O)(=O)[O-])cc1,1
372.15,Cn1cc[n+](C)n1,Cc1ccc(S(=O)(=O)[O-])cc1,1
368.15,Cn1cc[n+](C)c1,Cc1ccc(S(=O)(=O)[O-])cc1,1
414.15,CCCCCC[P+](CCCC)(CCCC)CCCC,F[P-](F)(F)(F)(F)F,1
440.15,CCCCCC[N+](CCCC)(CCCC)CCCC,F[P-](F)(F)(F)(F)F,1
297.15,CCCCCC[N+](CCCC)(CCCC)CCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
368.15,C[N+]1(C)CCCC1,COS(=O)(=O)[O-],1
372.15,C[N+]1(C)CCCCC1,COS(=O)(=O)[O-],1
193.15,CC[N+]1(C)CCCCC1,CCOS(=O)(=O)[O-],1
386.15,C[N+]1(C)CCOCC1,COS(=O)(=O)[O-],1
318.15,CC[N+]1(C)CCOCC1,COS(=O)(=O)[O-],1
