mpK,Molecule1,Molecule2,YoN
449.15,C1=C([S+]2c3ccccc3Oc3ccccc32)CCCC1,[O-][Cl+3]([O-])([O-])[O-],1
428.65,C1=C([S+]2c3ccccc3Oc3ccccc32)CCCCC1,[O-][Cl+3]([O-])([O-])[O-],1
456.9,C1=CCCC([S+]2c3ccccc3Oc3ccccc32)=CCC1,[O-][Cl+3]([O-])([O-])[O-],1
435.65,CC(C)=C(C)[S+]1c2ccccc2Sc2ccccc21,[O-][Cl+3]([O-])([O-])[O-],1
362.15,CCCn1cc[n+](C)c1,O=S(=O)([O-])c1cccc(P(c2ccccc2)c2ccccc2)c1,1
326.0,CCn1cc[n+](C)c1,F[As-](F)(F)(F)(F)F,1
362.0,CCC1CCC2CCC(c3ccccc3)CC[NH+]12,O=C([O-])C(O)c1ccccc1,1
446.15,Cn1nnn(N)c1=[NH2+],Nc1c([N+](=O)[O-])n[n-]c1[N+](=O)[O-],1
466.15,[NH3+]NC(=O)N[NH3+],Nc1c([N+](=O)[O-])n[n-]c1[N+](=O)[O-],1
518.15,c1ccc2c(c1)cnc1cccc[n+]12,[O-][Cl+3]([O-])([O-])[O-],1
469.15,c1ccc2c(c1)ccc1cccc[n+]12,[O-][Cl+3]([O-])([O-])[O-],1
469.0,[NH3+]C(Cc1c[nH+]c[nH]1)C(=O)O,O=C([O-])C(F)(F)C(F)(F)C(=O)[O-],1
325.15,CCCC[NH+](CCCC)CCCC,O=C(C=C([O-])c1cccs1)C(F)(F)F,1
468.21,[NH3+]C12CC3CC(CC(C3)C1)C2,Cc1cc([N-]S(=O)(=O)c2ccc(N)cc2)no1,1
377.0,[NH3+]C1CCC(O)CC1,O=C([O-])NC1CCC(O)CC1,1
447.0,[NH3+]Cc1ccccn1,O=[N+]([O-])[O-],1
434.15,[NH3+]c1cc(O)ccc1O,[O-][Cl+3]([O-])([O-])[O-],1
458.15,C#CCn1cc[n+](CC#C)c1,c1ccc([B-](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,1
360.0,C[n+]1ccn(CCOCCOCCn2cc[n+](C)c2)c1,F[P-](F)(F)(F)(F)F,1
344.0,C[n+]1ccn(CCCCCCCCCCn2cc[n+](C)c2)c1,F[P-](F)(F)(F)(F)F,1
412.15,COC(=O)C1([NH3+])CCc2cc(Br)ccc2C1,O=C([O-])C(O)c1ccccc1,1
396.0,Nc1cccc[nH+]1,O=C([O-])C1CCCCC1C(=O)O,1
446.3,O=C(O)C[n+]1ccccc1COc1ccc(OCc2cccc[n+]2CC(=O)O)cc1,O=[N+]([O-])[O-],1
467.0,N#CC1(c2ccc(NC(=O)c3cccnc3NCc3cc[nH+]cc3)cc2)CCCC1,CS(=O)(=O)[O-],1
281.5,CN(C)C[NH+](C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1
445.65,CC([NH3+])c1ccccc1,O=C([O-])c1ccc(C(=O)CC2CC3CCCCC3C2)cc1,1
443.15,CC([NH3+])C1CCCCC1,O=C([O-])c1ccc(C(=O)CC2CC3CCCCC3C2)cc1,1
513.15,Cn1c(=O)c2c(n(C)[cH+]n2C)n(C)c1=O,F[P-](F)(F)(F)(F)F,1
573.0,Cc1cc2oc(-c3ccc(Cl)cc3)c[n+]2c2c1CCCCC2,[O-][Cl+3]([O-])([O-])[O-],1
351.0,CCCCn1cc[n+](C)c1C,O=S(=O)([O-])O,1
433.0,OCC[NH+]1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,O=C([O-])C=CC(=O)O,1
425.15,[NH3+]c1ccc(F)cc1,O=S(=O)([O-])[O-],1
481.15,Cc1ccccc1-c1nc2c(o1)N=CN1CC[NH+]=C21,O=C([O-])C(F)(F)F,1
309.0,CCCCn1cc[n+](C)c1,O=[N+]([O-])[O-],1
583.65,C1=CNC2CC2[NH+]=CC=CNC2CC2[NH+]=C1,[O-][Cl+3]([O-])([O-])[O-],1
504.0,COc1cc(Br)c2c3c1C(C[NH3+])CCC3CO2,Cc1ccc(S(=O)(=O)[O-])cc1,1
451.15,C[N+](C)(C)C,O=S1(Cl)=NP([O-])(Cl)=NS(=O)(Cl)=N1,1
457.0,C1C[NH2+]CC[NH2+]1,O=C([O-])CCCCCCC(=O)[O-],1
370.0,C1C[NH2+]CC[NH2+]1,CCCCCCC(=O)[O-],1
499.15,CCn1ccc2c3c(=O)n(C)c(=O)n(C)c3[nH+]nc21,[O-][Cl+3]([O-])([O-])[O-],1
453.65,C1C[NH2+]CC[NH2+]1,O=C([O-])c1ccccc1O,1
427.65,C[N+]1(CC(=O)O)CCOCC1,O=[N+]([O-])c1cc([N+](=O)[O-])c([O-])c([N+](=O)[O-])c1,1
418.65,[NH3+]C(c1ccccc1)C(O)c1ccccc1,CCC(C(=O)[O-])c1ccccc1,1
427.4,[NH3+]C(c1ccccc1)C(O)c1ccccc1,CCC(C(=O)[O-])c1ccc(C)cc1,1
401.0,C1COCCOCC[NH2+]CCOCCOCC[NH2+]1,Cc1cc(Cl)ccc1OCC(=O)[O-],1
538.0,COc1ccc2cc(-c3nc4ccccc4n3C)c(N)[o+]c2c1,[O-][Cl+3]([O-])([O-])[O-],1
464.0,COC(=O)C([NH3+])c1ccccc1,O=C([O-])c1cccc(C(F)(F)F)c1-n1cccc1C(=O)O,1
473.15,NCC[NH3+],CCOC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1[O-],1
402.15,CN(C)[C+]([C+](N(C)C)N(C)C)N(C)C,FC(F)(F)[Se-],1
378.15,CC(=O)OC1CCC[S+](C)C1,[O-][Cl+3]([O-])([O-])[O-],1
482.15,CC[N+](CC)(CC)CC,F[Si-]12(Oc3ccccc3O1)Oc1ccccc1O2,1
466.15,Cc1ccc2ccccc2[nH+]1,O=C([O-])c1cc2ccccc2cc1O,1
395.65,Cc1ccc2ccccc2[nH+]1,O=C([O-])CC(O)(CC(=O)O)C(=O)O,1
393.65,CCc1cc[nH+]cc1,O=C([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1
428.15,[NH3+]CC[NH3+],[O-][I+2]([O-])[O-],1
369.0,C1C[NH2+]CC[NH2+]1,CCCCCCCCCCCC(=O)[O-],1
423.15,C1=CC=CC(C2=[NH+]CCN2)C=C1,F[B-](F)(F)F,1
333.0,C1CC[NH2+]CC1,CO[B-](OC)(OC)OC,1
557.65,C1CC2CCCC(C1)N2[N+]1C2CCCC1CCC2,F[P-](F)(F)(F)(F)F,1
409.5,c1cc(N2CCCCC2)cc[nH+]1,F[P-](F)(F)(F)(F)F,1
458.15,BrC1C2C[NH+]3CCC(O2)C13,O=[N+]([O-])c1cc([N+](=O)[O-])c([O-])c([N+](=O)[O-])c1,1
425.15,Cc1c(C)[n+](C)cn1C,c1ccc2c(c1)[cH-]c1ccccc12,1
450.65,C1COCCOCC[NH2+]CCOCCOCC[NH2+]1,O=C1NC(=O)C(=N[O-])C(=NO)N1,1
443.15,CN1C(=O)c2cccc3cccc(c23)[S+]1c1ccccc1,[O-][Cl+3]([O-])([O-])[O-],1
410.15,CC([NH3+])c1ccccc1,CC1(C)C(Cl)C(O)(S(=O)(=O)[O-])C1CC(Cl)(Cl)Cl,1
414.15,CC([NH3+])c1ccccc1,CCOC(=O)C1(C(=O)[O-])CN1OC,1
432.15,CN1CC[N+](c2ccc([N+](=O)[O-])cc2)=N1,[O-][Cl+3]([O-])([O-])[O-],1
499.65,C[N+]12Cc3ccccc3[Se]1(C)c1ccccc1C2,F[P-](F)(F)(F)(F)F,1
482.0,C1C[NH2+]CC[NH2+]1,CC(=O)[O-],1
392.0,C1C[NH2+]CC[NH2+]1,CCC(=O)[O-],1
392.0,C1C[NH2+]CC[NH2+]1,CCCC(=O)[O-],1
385.0,C1C[NH2+]CC[NH2+]1,CCCCC(=O)[O-],1
369.0,C1C[NH2+]CC[NH2+]1,CCCCCCCCCC(=O)[O-],1
368.45,C1C[NH2+]CC[NH2+]1,CCCCCCCCCCCCCC(=O)[O-],1
369.6,C1C[NH2+]CC[NH2+]1,CCCCCCCCCCCCCCCC(=O)[O-],1
415.15,O=C(O)CC[n+]1ccccc1,O=S(=O)([O-])[O-],1
420.15,Nc1cccc[nH+]1,Nc1cccc(C(=O)[O-])c1,1
479.65,Nc1ccc([N+](=O)[O-])c[nH+]1,O=[N+]([O-])c1ccccc1S(=O)(=O)[O-],1
445.65,Nc1ccc([N+](=O)[O-])c[nH+]1,O=[N+]([O-])c1cccc(S(=O)(=O)[O-])c1,1
428.65,Nc1ccc([N+](=O)[O-])c[nH+]1,O=[N+]([O-])c1cc(S(=O)(=O)[O-])ccc1Cl,1
468.15,Nc1ccc([N+](=O)[O-])c[nH+]1,O=S(=O)([O-])c1ccccc1,1
444.65,C[NH2+]C(C)C(O)c1ccccc1,CC(C)(C)S(=O)CC(=O)[O-],1
485.85,CC1(C)OC2COC(C[N+](C)(C)C)C2O1,Cc1ccc(S(=O)(=O)[O-])cc1,1
411.0,Cc1ccc(C(C)[NH3+])cc1,CC(NC(=O)CCC(=O)[O-])c1ccccc1,1
439.15,C1CC2CCC1C[NH2+]C2,COC(=O)[N-]c1cc(N2CC=CCC2)nc2nc(=O)on12,1
449.9,Cc1ccc(CC([NH3+])c2ccccc2)cc1,O=C([O-])C(O)c1ccccc1,1
381.65,CC([NH3+])NC(=O)C(C)(C)C(=O)OC(C)(C)C,O=C([O-])C(F)(F)F,1
379.15,CN1C=N[N+](C)(C)C=N1,O=S(=O)([O-])F,1
487.9,C[n+]1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,[O-][Cl+3]([O-])([O-])[O-],1
413.15,OC1C[N+]2(CCOCC2)C1,Cc1ccc(S(=O)(=O)[O-])cc1,1
432.0,C1C[NH2+]CC[NH2+]1,O=C([O-])CCCC(=O)[O-],1
494.55,c1cc(CCc2cc[nH+]cc2)cc[nH+]1,O=C1[N-]S(=O)(=O)c2ccccc21,1
508.65,C(=Cc1cc[nH+]cc1)c1cc[nH+]cc1,O=C1[N-]S(=O)(=O)c2ccccc21,1
489.65,C[NH+]1CC[NH+](C)CC1,O=C1[N-]S(=O)(=O)c2ccccc21,1
464.35,c1ccc(Nc2cccc[nH+]2)nc1,O=C1[N-]S(=O)(=O)c2ccccc21,1
449.5,c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CCN(CC)C(=S)[S-],1
447.5,c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,S=C([S-])N1CCCCC1,1
447.0,CC(C)[n+]1nn(C(C)(C)C)cc1[N+](=O)[O-],[O-][Cl+3]([O-])([O-])[O-],1
526.0,NC(N)=[NH2+],[O-][Cl+3]([O-])([O-])[O-],1
408.0,c1cnc2c(c1)cc1c3c(cc4ccc[nH+]c4c32)CC1,O=[N+]([O-])c1cc([N+](=O)[O-])c([O-])c([N+](=O)[O-])c1,1
514.5,NC(=O)Nc1cccc2ccc[nH+]c12,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1[O-],1
425.15,CC1(C)CC(=O)CC(C)(C)[NH2+]1,CCOP(=[Se])([Se-])OCC,1
407.15,OCCSc1n[nH+]c[nH]1,O=C([O-])C(=O)O,1
476.5,C[n+]1ccccc1C=Cc1ccc(Cl)cc1,COc1ccc(S(=O)(=O)[O-])cc1,1
